fragment,data,control,exception
https://github.com/jtidy/jtidy/blob/aade7c5a6c1007d013859ac95378a2d469f5e254/src/main/java/org/w3c/tidy/Lexer.java#L2517C1-L2525C30,2,0,0
https://github.com/erdtman/java-json-canonicalization/blob/535ab0075405f6aafb96a4197f943838130666d3/src/main/java/org/erdtman/jcs/NumberDToA.java#L461C4-L466C25,2,0,0
https://github.com/erdtman/java-json-canonicalization/blob/535ab0075405f6aafb96a4197f943838130666d3/src/main/java/org/erdtman/jcs/NumberDToA.java#L468C1-L473C22,2,0,0
https://github.com/erdtman/java-json-canonicalization/blob/535ab0075405f6aafb96a4197f943838130666d3/src/main/java/org/erdtman/jcs/NumberDToA.java#L523C1-L532C30,6,0,0
https://github.com/erdtman/java-json-canonicalization/blob/535ab0075405f6aafb96a4197f943838130666d3/src/main/java/org/erdtman/jcs/NumberDToA.java#L826-L841,2,0,0
https://github.com/delthas/JavaMP3/blob/8b42e48a549813b43c99db9fef525286c888a082/src/main/java/fr/delthas/javamp3/Decoder.java#L710C1-L714C14,5,0,0
https://github.com/apache/xmlgraphics-commons/blob/d5d782f9fce99774ef206a4a4437fc86f711d9d9/src/main/java/org/apache/xmlgraphics/image/codec/tiff/TIFFImage.java#L931C1-L943C26,1,0,0
https://github.com/apache/xmlgraphics-commons/blob/d5d782f9fce99774ef206a4a4437fc86f711d9d9/src/main/java/org/apache/xmlgraphics/image/codec/tiff/TIFFImage.java#L954C1-L966C26,1,0,0
https://github.com/apache/xmlgraphics-commons/blob/d5d782f9fce99774ef206a4a4437fc86f711d9d9/src/main/java/org/apache/xmlgraphics/image/codec/tiff/TIFFImage.java#L1181C1-L1193C22,1,0,0
https://github.com/jai-imageio/jai-imageio-core/blob/f81bc1ab19faa210ad289c6ae2588bc1157fd07a/src/main/java/com/github/jaiimageio/impl/plugins/tiff/TIFFImageMetadata.java#L888C1-L905C51,3,0,0
https://github.com/jruby/joni/blob/d4696c4f6dcdd1484895abae4b9b3c62874759e1/src/org/joni/Lexer.java#L1178C1-L1183C53,2,0,1
https://github.com/logpresso/CVE-2021-44228-Scanner/blob/35c37dd6941d6b77d103229302cadd473b97a816/src/main/java/com/logpresso/scanner/Configuration.java#L348-L364,2,0,4
https://github.com/OpenLiberty/ci.common/blob/b48d061d33b28b6dd5d48f52f25e032e3fc45614/src/main/java/io/openliberty/tools/common/plugins/util/DevUtil.java#L4311C1-L4320C14,8,0,0
https://github.com/meteoinfo/wContour/blob/dade1e866bf3d3eab56bd09f2b1dcdac5c1ee6f6/src/main/java/wcontour/Contour.java#L1699C1-L1708C18,6,0,0
https://github.com/meteoinfo/wContour/blob/dade1e866bf3d3eab56bd09f2b1dcdac5c1ee6f6/src/main/java/wcontour/Contour.java#L1710-L1725,8,0,0
https://github.com/pvto/konte-art/blob/03c969d8fd62ba3c7175a840e6a785049183f4b6/src/main/java/org/konte/parse/ExpressionParser.java#L173C1-L189C35,4,0,2
