hash,dev-tests-cov,evosuite-cov,randoop-reg-cov,randoop-all-cov,combined-cov
4f1030e13ab3f9c437f42950db3a41bc,1.0000,0,NO_INFO,NO_INFO,1.0000
5098828697ca163ff9d51e2432073b74,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
51eefed70e1e3c873c3112a96244e11d,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
532d9e77fa7d89c476b799aeaa39c60b,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
54b7035c26859e931bc5b409b86cbd17,.6363,0,NO_INFO,NO_INFO,.6363
55f0c51fd99923d5bbe9d0c086694d55,.5000,NO_INFO,NO_INFO,0,.5000
5b22c04893be18b83e62cb7b990b2509,0,1.0000,NO_INFO,0,1.0000
5b7a45d3e660f797cc178347622b4ecf,0,1.0000,NO_INFO,0,1.0000
5ba490c4627a24de75aea984c154dcf7,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
5bf5b584e7487dc4952fac3d839fa707,.5000,0,NO_INFO,NO_INFO,.5000
5c4a68697b89346efd08c9e836222aed,0,0,0,0,0
5d5369c071c5b2cec89e5793ba229164,.8000,NO_INFO,NO_INFO,0,.8000
5e498366505ed58e747e2ead6012d779,0,.6000,NO_INFO,NO_INFO,.6000
603addd4e614f33ff6c9581e841d334f,1.0000,1.0000,0,0,1.0000
61b6924695b1532584097b1b2515d57a,0,0,NO_INFO,NO_INFO,0
61df5c03f435be28ceba019777ccba23,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
63c838be7f5f37dc74d5787ac51987a5,0,0,NO_INFO,NO_INFO,0
65ef1dee5a95384cecf87e90fda505cc,0,NO_INFO,0,0,0
66712aa3273f5d62f70894ee4022e4d8,1.0000,0,NO_INFO,0,1.0000
67dbc61ecf2d63def1c6d5c2fca13d1c,0,0,NO_INFO,0,0
6d152d9edd27187f86152fae3779efad,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
6d245f247cebe5b25ca54154c1418b7b,0,0,NO_INFO,0,0
6fcb5f11487d0b9b3a8a1e5a71de69b8,0,0,NO_INFO,0,0
6fd913163cba358c60a2bd048a685976,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
711133b867f321889e471a60153ecd86,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
73e6a7688b78a5289de3d4c8d3a7d3cf,.3750,1.0000,NO_INFO,.2500,1.0000
746101c32fc31eb5b6ca3483bd82a491,.7142,0,NO_INFO,NO_INFO,.7142
750a3b7393be63cca64e10c286ab83c4,0,0,0,0,0
755d5b17be2fe2382fec11be88ad3dd9,0,1.0000,0,0,1.0000
76c436dd43d9607ead14a308985b47c6,0,NO_INFO,NO_INFO,NO_INFO,0
786df31443ec98a88aad6aac2bde12a7,0,0,NO_INFO,NO_INFO,0
7bda25a616e29fb3a4d9e50943c46a9a,0,.2857,0,0,.2857
7c04670266a82bb745c9abcbdbaccd48,0,NO_INFO,0,0,0
7c28f26ebedb681f4c06902abb24d4e5,0,NO_INFO,NO_INFO,0,0
7cdfc3bcc795f33dd7b41067da922130,1.0000,0,0,0,1.0000
7e3cab804e9432b046179ca2f5ba1a13,1.0000,0,NO_INFO,NO_INFO,1.0000
7e4786b83d9d39824324a9176b74c52c,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
7e78b4edb3cbba5fa1f5d707673f2040,0,NO_INFO,0,0,0
7efcaeb2b36db9ad7350a5b0b70c6129,.4444,0,NO_INFO,NO_INFO,.4444
7fd351de14949612a5c652f78f87bc7d,0,0,NO_INFO,NO_INFO,0
