file,generation time,test time,blocktest count,actual test count,USEABLE,total_time
3redronin-mu-server-69683cf8009d7a0ac52452fd4b0abe06ffd0bf87-Http2Connection,1542,1817,101,100,TRUE,3.359
albfernandez-itext2-5ac684e2140a3d9a5b4c34dfd2639dcc87884ad0-SimpleXMLParser,1713,1628,601,600,TRUE,3.341
albfernandez-itext2-5ac684e2140a3d9a5b4c34dfd2639dcc87884ad0-TiffImage,1662,1598,301,300,TRUE,3.26
apache-commons-codec-634ac7caba17b3610e8fe3dd19f9f05faf4d1f94-Rule,1690,3591,701,700,TRUE,5.281
apache-commons-imaging-d3b3b534198d2b0b631379515e2b53905b425e70-JpegImageParser,2311,3251,401,400,TRUE,5.562
apache-dubbo-hessian-lite-ca001b4658227d5122f85bcb45032a0dac4faf0d-Hessian2Input,1826,1647,801,600,TRUE,3.473
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-TIFFImage,1921,1759,501,500,TRUE,3.68
apache-xmlgraphics-commons-d5d782f9fce99774ef206a4a4437fc86f711d9d9-TIFFImageEncoder,1881,1483,801,800,TRUE,3.364
awslabs-aws-glue-catalog-sync-agent-for-hive-2ba77e5718c5b1988e711fac37966b40665bc385-HiveGlueCatalogSyncAgent,2257,2646,401,400,TRUE,4.903
Azure-azure-functions-java-worker-c92d38cdeb867f2f7e2ae9b2515c32c2ecfd1e41-BindingDataStore,1495,4789,101,100,TRUE,6.284
Azure-Samples-cassandra-proxy-f184bcaa612808ad9348a629330cc6bc94c13105-ProxyClient,1543,1427,201,200,TRUE,2.97
Azure-Samples-cassandra-proxy-f184bcaa612808ad9348a629330cc6bc94c13105-Proxy,1838,1598,501,500,TRUE,3.436
ben-xo-cdjscrobbler-921fe5394227f1f602174b7c8935697904128d53-UpdateListener,1491,1871,101,100,TRUE,3.362
blackbeard334-djoom3-64362645420c99ac621b051a678de96883e2a329-Window,1912,1605,501,500,TRUE,3.517
bruceran-krpc-33c83d78574a472e3cbfc75afa87ec57253cc90c-Bootstrap,1741,1485,301,300,TRUE,3.226
chengdedeng-waf-9ba9a18857154830a35e3b10d111d025208f73ef-CCSecurity,1554,4689,201,200,TRUE,6.243
darmiel-eeee-f4114a3bf831ae88f6cca606f4d0f93ac09cc210-EntryMethod,1955,2040,101,100,TRUE,3.995
datadotworld-dw-jdbc-ac4f7d8a457dce89cbaa9eb33994304e5504fda1-SparqlResultsParser,2102,2057,501,500,TRUE,4.159
delthas-JavaMP3-8b42e48a549813b43c99db9fef525286c888a082-Decoder,2264,2023,101,100,TRUE,4.287
erdtman-java-json-canonicalization-535ab0075405f6aafb96a4197f943838130666d3-NumberDToA,1739,1813,501,500,TRUE,3.552
errai-errai-d2edc4632373096f8d81c93f18cd874fa5501b90-JsTypeAntiInliningExtension,-1,-1,0,-1,FALSE,-0.002
EsotericSoftware-yamlbeans-763726d51c99824218051e485e1b44f7477456fa-YamlReader,1700,1768,401,400,TRUE,3.468
f4b6a3-uuid-creator-f9e6e6d02ecc8dac16a56e4fab1bd24caec8171c-TimeOrderedEpochFactory,2023,1769,201,200,TRUE,3.792
finmath-finmath-lib-ad5d22e93e335cd88c95f8f2d7ba6336e3947e68-Black76Model,-1,-1,0,-1,FALSE,-0.002
fizzed-jne-199d45bd8728807b61356fd1c0f17079b567ed60-JavaHomes,1572,3232,201,200,TRUE,4.804
gabrie-allaigre-sonar-gitlab-plugin-1a6b20737c0e034fed35f555442fa493c6268e9f-GitLabApiV3Wrapper,1627,2369,301,300,TRUE,3.996
gabrie-allaigre-sonar-gitlab-plugin-1a6b20737c0e034fed35f555442fa493c6268e9f-GitLabApiV4Wrapper,1662,2397,301,300,TRUE,4.059
googleapis-disco-to-proto3-converter-32cf5993853b1218e97e54c556f3922f49014eb8-DocumentToProtoConverter,1624,1401,201,200,TRUE,3.025
graphstream-gs-core-950b87280075f92a85b564b47ce6522ced5ba53a-StyleSheetParserTokenManager,2022,3602,701,700,TRUE,5.624
hageldave-ezFFTW-20d97041dfde6731bbfc02980cf2b581c62161ec-FFTTest,1650,1621,201,200,TRUE,3.271
Harium-keel-bb6a1cf5104d609399ddf9a803ae60d6caee7a3b-SingularValueDecomposition,2283,1674,1101,1100,TRUE,3.957
HelixNetwork-pendulum-919ae1df7ca4359aad6b9a4575beb9d3ca4de8ef-SnapshotServiceImpl,-1,-1,0,-1,FALSE,-0.002
heroku-heroku-jvm-application-deployer-ffd498f1a94853b30bc0275a6ef495f2ec3a11f7-Main,1565,1808,201,200,TRUE,3.373
hoijui-Jawk-33cfbc2bc14bc9c75fedccbe2963ef26b61543dc-AVM,2657,2262,2101,1100,TRUE,4.919
hoijui-Jawk-33cfbc2bc14bc9c75fedccbe2963ef26b61543dc-AwkParser,2647,1895,501,500,TRUE,4.542
iipc-jwarc-e4ff0fe435c378b68b482a3ca1502b70b33fe872-WarcFilterCompiler,1566,1457,301,300,TRUE,3.023
iotaledger-cliri-1f974cafb1c17d96ae7e0a6856f563dcf3794238-Node,1653,2366,201,200,TRUE,4.019
