hash,total,writing
fc7532a078b145ab650cb5482df9716e,286,40
8d294c9e0c3dfe42dc860e2932ade250,632,75
b6d9f1474fe0942d3ccfc63ebee7e519,678,120
a81b8e17a58c1dc86b363d73678c64e2,646,16
3dcad37bcbec7f71bf483ccdd5a9773d,217,15
bba3b523a8a48d9ca7a1b1e57f2d1f01,923,71
f962a442723894c25b2d967a0c4e064c,972,22
a927826da1b9d3b0fd02f426733a8245,375,18
878c3c0542722218add383a1433117f2,410,24
ebd5bd3c7cf48fe230a33cd838515e9d,547,17
5b7a45d3e660f797cc178347622b4ecf,355,19
fa159aee2cab8df7480b7fd390a598d5,605,52
3154980da46d4fe58f1f986fc5d91ef0,860,66
9aa6f8f78c63e8fc2b075e7a6493e413,668,18
99ecc72827d94d133c1de73de833a648,1022,17
fa321d841a3635f0976bc8eb4e499229,568,200
016732b24e72dafcdbcfde9e1d936c4c,108,19
975c33523e0edd91f3b941c28e13f8de,640,18
8e6c37d2edc094727743b3bab081720b,265,19
b2b94b3a6007a0598c9dd5293ab63650,74,15
15ed967f81c6f4620edfbf837a58760f,162,21
92bdc5d75253c06d177c0e8ff2d8c657,357,17
5e498366505ed58e747e2ead6012d779,102,19
30f82ed68d0d4896b998c71f29070eea,296,19
bedd9a27da314f07d0f78d7e99f11675,470,27
10644704db4d27a2ad2a778a58c8f123,309,23
a3ff09094fc5c73fc7eec72e18edf2d1,137,18
0e8bd2009658c61a880bec16aeccb111,378,248
2f3963d7d44fc668bd8f56b89421cdac,1550,21
01edc3923cf8e433e78f7eac3902bf82,821,26
2603e17501f398a1e2209ad29467856e,249,22
711133b867f321889e471a60153ecd86,1153,19
d45a27a1eda3062e744a8959ee99dbec,303,25
1dd64f2ff504af5c58b81d3834d5c006,1654,33
d49eff8fca15bafd7ad3ed025705e7b3,385,15
a6055cb51c0c87441c1cc5140b058c76,441,21
89b816b2cc84d271c379186936e8caac,161,23
ad1a1c5ffafa208c4423f2570bfd4fd3,542,22
a8cf34cc1da11a4058d5262622c09994,261,20
1dd7617d0f6aa5718848765af00d085c,692,452
e3a26af026c0f9bc08e242c81dddaec2,584,33
84da069c06b78d6fa744e63bdf2eecff,142,39
eca497b501f9a57974ac87a7378cd214,283,26
5b22c04893be18b83e62cb7b990b2509,448,69
29d470d4559f3cf6b8a69ea2ec15f1aa,179,34
73e6a7688b78a5289de3d4c8d3a7d3cf,57,55
254e71ca2ec56380389fa826e533bb85,225,73
55b900190eee698aab5e2faf4c588851,99,45
a3890972e35d823daae09299d4237d48,35,30
0566df0b2509df14d971993276fbf059,27,23
8b39f8ad3c33a526b0b7d5bd5a308e47,115,84
632bfbfcdd2b11a683f52a74e50b384d,25,22
a093ab125d94bd8ed9f98f6917dcd562,18,18
6479db438dc79581d5eb4f1b434cb8ed,61,45
02394034b87565a6d5da67b7715ce8bd,96,37
4c127bd90d5fe25af507672720cba36b,31,25
1a4e17f1e5622bd96e52178ee6b9f35a,31,25
3f45b351dab72cf8436d4041b944fcd5,937,270
79c9d692f06d9efa71121e6018005ffd,161,127
92ba84f48bbb110a395d3d2e29ad8f5c,484,185
83a0e6c7a201dac415de29870edd93c0,264,146
1d0f9ead97f4f8472815da51070fde32,121,120
0797c966ebfa561647da14fb54e7d574,155,123
d11bf176ef62ff53602b187f6e3d69b7,319,155
d6237ec28132a947e0a080a68c6bf066,531,195
26e2447127828f815f45f2784e5d4ed8,301,149
6d63796972cf55c64f2aa4605e4187a2,141,123
5d267d2f929f35f60aca49aca48e7a98,175,127
954eaf16164e39bae79162cfb75814bb,214,135
731131218e9a17fbf88a6db0702f68bf,97,97
e2be214d8998d8dd688e3f69caaa3566,474,167
0893370b83a33999856a90d798623ad1,62,62
44ee04d22e9fd2eb3d7e48155e73a9e9,173,126
29db63370fe51d9f801678f4f2f10be5,80,80
38cd0587ae9453f3ca1296c35cfab166,225,140
