file,generation time,test time,blocktest count,actual test count,USEABLE,total_time
jai-imageio-jai-imageio-core-f81bc1ab19faa210ad289c6ae2588bc1157fd07a-RawRenderedImage,1595,2374,4,4,TRUE,3.969
jai-imageio-jai-imageio-core-f81bc1ab19faa210ad289c6ae2588bc1157fd07a-TIFFDecompressor,2257,2377,3,3,TRUE,4.634
jai-imageio-jai-imageio-core-f81bc1ab19faa210ad289c6ae2588bc1157fd07a-TIFFImageMetadata,1596,2365,1,1,TRUE,3.961
jai-imageio-jai-imageio-core-f81bc1ab19faa210ad289c6ae2588bc1157fd07a-TIFFImageWriter,1838,2373,7,7,TRUE,4.211
jano7-executor-afa9dd02560c69e26f4addcd5b68500c5e95241b-KeySequentialBoundedExecutorTest,1429,5125,1,1,TRUE,6.554
jenkins-infra-update-center2-5b1203f26470aa07d226974b599e53315a270a92-TieredUpdateSitesGenerator,1421,1749,2,2,TRUE,3.17
jessin20161124-miniDubboOpen-a02a5c2b393456861401b14057752fb22a7308ab-FastjsonSerializer,1510,1734,1,1,TRUE,3.244
jetlang-remoting-505aadcc72f28bdf1796ce6fc5b490cece2e5375-JetlangTcpClient,1476,1718,1,1,TRUE,3.194
jruby-jcodings-4eb6216f88f2b4ce80b555cc58e3f86e88b72c86-Transcoding,1538,1725,4,4,TRUE,3.263
jruby-joni-d4696c4f6dcdd1484895abae4b9b3c62874759e1-Lexer,1553,2367,2,2,TRUE,3.92
jtidy-jtidy-aade7c5a6c1007d013859ac95378a2d469f5e254-Lexer,2246,1971,2,2,TRUE,4.217
jtidy-jtidy-aade7c5a6c1007d013859ac95378a2d469f5e254-PPrint,1683,1967,5,5,TRUE,3.65
junichi11-netbeans-color-codes-preview-97a0262a3c15ab5842c43b68019e1e355ad7d3a8-ColorCodesPanel,1488,2020,1,1,TRUE,3.508
keighrim-mae-annotation-a4bf15aaad14f80b4c6a076bd01c58f6e4d07000-FontHandler,1413,1975,1,1,TRUE,3.388
lastaflute-lastaflute-01201e2eee995053bf6f9febcf58ace01ed38c30-ActionFormMapper,1562,1547,1,1,TRUE,3.109
lastaflute-lastaflute-01201e2eee995053bf6f9febcf58ace01ed38c30-ActionValidator,2007,1537,3,3,TRUE,3.544
lastaflute-lastaflute-01201e2eee995053bf6f9febcf58ace01ed38c30-RequestLoggingFilter,1574,1496,1,1,TRUE,3.07
lastaflute-lastaflute-01201e2eee995053bf6f9febcf58ace01ed38c30-RestfulStructuredMethodVerifier,1512,1496,2,2,TRUE,3.008
lastaflute-lastaflute-01201e2eee995053bf6f9febcf58ace01ed38c30-SimpleAsyncManager,2090,1517,2,2,TRUE,3.607
leonhad-paradoxdriver-de3a6ad18b6c7f1d461383876339dc8086beaead-ConnectionInfo,1485,1636,2,2,TRUE,3.121
leonhad-paradoxdriver-de3a6ad18b6c7f1d461383876339dc8086beaead-SelectPlan,1982,1700,1,1,TRUE,3.682
lettuce-io-lettuce-core-761d60247159662ce1db8bc20318bc4b573bc010-StatefulRedisConnectionImpl,1470,4209,2,2,TRUE,5.679
loehndorf-scengen-5e11067f76f5631a31b75f823cd3666a769b098f-Generator,1485,1728,8,8,TRUE,3.213
logpresso-CVE-2021-44228-Scanner-35c37dd6941d6b77d103229302cadd473b97a816-Configuration,1549,1355,5,5,TRUE,2.904
lzgabel-camunda-cloud-bpmn-converter-5a301723aa17c90a090c235f91d5491a1f7c249f-IntermediateCatchEventProcessor,1428,3053,2,2,TRUE,4.481
maxmind-geoip-api-java-0ed8a38981512667533d47204486aae0278a1bc8-regionName,1623,1874,2,2,TRUE,3.497
