hash,dev-tests-cov,evosuite-cov,randoop-reg-cov,randoop-all-cov,combined-cov
7a33c76bb57c8dbb8eeb2eaa60230f8f,NOT_COVERED,NOT_COVERED,NOT_COVERED,NOT_COVERED,NOT_COVERED
83a0e6c7a201dac415de29870edd93c0,NOT_COVERED,NOT_COVERED,NOT_COVERED,NOT_COVERED,NOT_COVERED
8666b623c746f13ffd5e5eda1b449050,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
87b52f12b6946aa24f4aaec72cd0ea9f,NOT_COVERED,NOT_COVERED,NO_INFO,NO_INFO,NOT_COVERED
8d96cfb6f7cecbd7799e9ee9a42504f4,PARTIALLY_COVERED,NOT_COVERED,NOT_COVERED,NOT_COVERED,PARTIALLY_COVERED
8de8bc672aaf26e1da1c6f9284966837,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
908ba97753c33182ab0abaa046a0eec5,NOT_COVERED,NOT_COVERED,NO_INFO,NO_INFO,NOT_COVERED
92ba84f48bbb110a395d3d2e29ad8f5c,NOT_COVERED,NOT_COVERED,NO_INFO,NO_INFO,NOT_COVERED
934b5f805fdf498beacce876fd82928f,FULLY_COVERED,PARTIALLY_COVERED,NO_INFO,NO_INFO,FULLY_COVERED
954eaf16164e39bae79162cfb75814bb,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
964bfb47863358712f51633905089ce7,NOT_COVERED,NOT_COVERED,NO_INFO,NO_INFO,NOT_COVERED
99f4fda945a53be53b829ff3533bbbea,PARTIALLY_COVERED,NO_INFO,NO_INFO,NOT_COVERED,PARTIALLY_COVERED
9bca5050d48b752d9908dccd923795df,NOT_COVERED,NO_INFO,NO_INFO,NO_INFO,NOT_COVERED
9d79fe55d65b4aef046f2a4291a3e6e2,NOT_COVERED,NOT_COVERED,NO_INFO,NO_INFO,NOT_COVERED
a1610390c1c50cdd25548601934ea682,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
a98d5ace3ce57ea3a67f58d115b35561,FULLY_COVERED,NOT_COVERED,NOT_COVERED,NOT_COVERED,FULLY_COVERED
b0eadf692ddeee885babf97c4c7b1296,FULLY_COVERED,NOT_COVERED,NO_INFO,NO_INFO,FULLY_COVERED
b5cf437a683094f701a43f1943269348,FULLY_COVERED,PARTIALLY_COVERED,NO_INFO,NO_INFO,FULLY_COVERED
b92bd020f25a1285ae7179ca02ecec6f,NOT_COVERED,NOT_COVERED,NOT_COVERED,NOT_COVERED,NOT_COVERED
bb44a0afcfb5c5907d9ecf2bbbb74c1f,FULLY_COVERED,FULLY_COVERED,NO_INFO,FULLY_COVERED,FULLY_COVERED
c0d4f4cb366f0ba4f7ff7e621a41e8ae,NOT_COVERED,NOT_COVERED,NO_INFO,NO_INFO,NOT_COVERED
c513f8925d362b9dd644d7a1b9de77d0,FULLY_COVERED,NOT_COVERED,NOT_COVERED,NOT_COVERED,FULLY_COVERED
c5d21a8cf20c5328e2b6f6197e352612,PARTIALLY_COVERED,NO_INFO,NO_INFO,NO_INFO,PARTIALLY_COVERED
c632688886bb7da5ca0c4584361b3b3d,FULLY_COVERED,NOT_COVERED,NO_INFO,NO_INFO,FULLY_COVERED
d11bf176ef62ff53602b187f6e3d69b7,NOT_COVERED,NO_INFO,NOT_COVERED,NOT_COVERED,NOT_COVERED
d41b65be79fcc7026ce6b5cc2d0ed627,FULLY_COVERED,NOT_COVERED,NO_INFO,NO_INFO,FULLY_COVERED
d6237ec28132a947e0a080a68c6bf066,PARTIALLY_COVERED,NOT_COVERED,NO_INFO,NO_INFO,PARTIALLY_COVERED
d83e9d4edb5b4ffa65e15b90543cfb78,NOT_COVERED,NOT_COVERED,NO_INFO,NO_INFO,NOT_COVERED
da138a9bba97dd57d9c4368fba3accc3,PARTIALLY_COVERED,PARTIALLY_COVERED,NO_INFO,NO_INFO,PARTIALLY_COVERED
df4adfd0e829951502f7a9d67508d396,PARTIALLY_COVERED,NOT_COVERED,NO_INFO,NO_INFO,PARTIALLY_COVERED
e2be214d8998d8dd688e3f69caaa3566,NOT_COVERED,NOT_COVERED,NO_INFO,NO_INFO,NOT_COVERED
e92284eaacfec23da6937c77b1579868,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
eb294f9f0a004010316465df5e685e2b,NOT_COVERED,PARTIALLY_COVERED,NOT_COVERED,NOT_COVERED,PARTIALLY_COVERED
FULLY_COVERED,14,3,0,1,16
PARTIALLY_COVERED,13,10,0,0,16
NOT_COVERED,40,43,19,23,35
NO_INFO,14,25,62,57,14
