hash,dev-tests-cov,evosuite-cov,randoop-reg-cov,randoop-all-cov,combined-cov
c5d21a8cf20c5328e2b6f6197e352612,.3333,NO_INFO,NO_INFO,NO_INFO,.3333
c632688886bb7da5ca0c4584361b3b3d,1.0000,0,NO_INFO,NO_INFO,1.0000
d11bf176ef62ff53602b187f6e3d69b7,0,NO_INFO,0,0,0
d41b65be79fcc7026ce6b5cc2d0ed627,1.0000,0,NO_INFO,NO_INFO,1.0000
d6237ec28132a947e0a080a68c6bf066,.7000,0,NO_INFO,NO_INFO,.7000
d83e9d4edb5b4ffa65e15b90543cfb78,0,0,NO_INFO,NO_INFO,0
da138a9bba97dd57d9c4368fba3accc3,.7142,.7142,NO_INFO,NO_INFO,.7142
df4adfd0e829951502f7a9d67508d396,.6666,0,NO_INFO,NO_INFO,.6666
e2be214d8998d8dd688e3f69caaa3566,0,0,NO_INFO,NO_INFO,0
e92284eaacfec23da6937c77b1579868,NO_INFO,NO_INFO,NO_INFO,NO_INFO,NO_INFO
eb294f9f0a004010316465df5e685e2b,0,.7142,0,0,.7142
mean,0.251415,0.095384,0,0,0.291631
median,0,0,0,0,0
max,1.0000,1.0000,0,0,1.0000
min,,,0,,
